Timestamp,EstadoClasificado,Subsistema,DestinoRed,NeuralEngineActivo,TiempoRespuestaMs,Consulta,MensajeSistemaCrudo
2026-09-20 17:03:06.236,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22055,"ViewUpdate: Finished update job for live","ViewUpdate: Finished update job for live"
2026-09-20 17:03:06.235,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22055,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: Ending view update attempt"
2026-09-20 17:03:06.235,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22055,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: No update required"
2026-09-20 17:03:06.213,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: Beginning view update attempt"
2026-09-20 17:03:06.212,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"ViewUpdate: Initially have 1 views that may need updating","ViewUpdate: Initially have 1 views that may need updating"
2026-09-20 17:03:06.211,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"ViewUpdate: Starting schedule run <private>","ViewUpdate: Starting schedule run <private>"
2026-09-20 17:03:06.211,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"Procesando solicitud…","ViewUpdate: Beginning update job for live [runMode: update, checkSLA: true]"
2026-09-20 17:03:06.211,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"SourceUpdater: <private> triggered 37 to run on the live schedule","SourceUpdater: <private> triggered 37 to run on the live schedule"
2026-09-20 17:03:06.180,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"ViewUpdate: Finished update job for live","ViewUpdate: Finished update job for live"
2026-09-20 17:03:06.179,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: Ending view update attempt"
2026-09-20 17:03:06.179,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"ViewUpdate: completed update","ViewUpdate: completed update"
2026-09-20 17:03:06.179,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: View was updated"
2026-09-20 17:03:06.170,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22054,"Procesando solicitud…","ViewUpdate: <private>: <private>: Finished update"
2026-09-20 17:03:06.170,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22053,"Procesando solicitud…","ViewUpdate: <private>: Finished update"
2026-09-20 17:03:06.126,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22053,"Using target provided in IntelligencePlatform for view: (<private>)","Using target provided in IntelligencePlatform for view: (<private>)"
2026-09-20 17:03:06.118,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22053,"Procesando solicitud…","ViewUpdate: <private>: Update is required"
2026-09-20 17:03:06.102,"Privado — todo en tu Mac","com.apple.intelligenceplatform","Sin conexiones activas",false,22052,"Procesando solicitud…","ViewUpdate: 37:AppsRecentlyFocused: Beginning view update attempt"
